epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.676,2.17585,4.92598,2.36554,0.00371,0.75229,0.05709,0.01823,2.32656,6.2553,2.8934,0.000543038,0.000543038,0.000543038
2,899.48,2.13571,4.23914,2.22169,0.12162,0.07339,0.03138,0.00839,3.06974,5.34875,3.46406,0.00107695,0.00107695,0.00107695
3,1290.51,2.21948,3.89946,2.34826,0.12692,0.11927,0.04997,0.01902,2.60462,21.8096,3.55307,0.00158886,0.00158886,0.00158886
4,1686.11,2.21141,3.67858,2.36038,0.05165,0.05505,0.01596,0.00374,2.72285,18.2104,3.68668,0.00156798,0.00156798,0.00156798
5,2082.26,2.07635,3.35987,2.25305,0.11995,0.12844,0.04437,0.0111,2.42573,9.65396,2.94293,0.00153497,0.00153497,0.00153497
6,2488.11,2.10315,3.16197,2.26993,0.18467,0.16624,0.12972,0.05129,2.34131,5.32578,2.77968,0.00150197,0.00150197,0.00150197
7,2894.7,2.01944,2.89912,2.17864,0.15703,0.12844,0.08863,0.03126,2.26469,3.44609,2.59948,0.00146896,0.00146896,0.00146896
8,3309.77,2.06225,2.94565,2.20755,0.09765,0.19266,0.06198,0.01569,2.528,5.29478,2.73721,0.00143595,0.00143595,0.00143595
9,3774.65,1.98857,2.81546,2.16874,0.09142,0.16514,0.06097,0.0213,2.11309,3.57132,2.49338,0.00140295,0.00140295,0.00140295
10,4185.18,1.98821,2.75856,2.15981,0.32078,0.27523,0.21844,0.07138,2.08541,2.96006,2.46096,0.00136994,0.00136994,0.00136994
11,4664.91,1.92935,2.65813,2.14269,0.29357,0.26606,0.26469,0.09843,2.10434,2.9946,2.54555,0.00133693,0.00133693,0.00133693
12,5163.22,1.91477,2.58412,2.14257,0.29207,0.31193,0.22963,0.09064,2.05597,3.11747,2.3743,0.00130393,0.00130393,0.00130393
13,5656.5,1.83005,2.46558,2.04596,0.37737,0.38532,0.31024,0.13383,1.99856,2.3591,2.46152,0.00127092,0.00127092,0.00127092
14,6136.56,1.8668,2.4788,2.0886,0.40691,0.44691,0.35336,0.14678,1.90686,2.30111,2.26379,0.00123791,0.00123791,0.00123791
15,6592.95,1.80583,2.34048,2.04467,0.39322,0.36697,0.33532,0.12834,1.9573,2.37873,2.33812,0.00120491,0.00120491,0.00120491
16,7053.94,1.81178,2.25425,2.04248,0.49392,0.45872,0.48129,0.18415,1.97925,2.09484,2.34971,0.0011719,0.0011719,0.0011719
17,7506.12,1.74828,2.2478,1.95669,0.53132,0.44954,0.46859,0.1986,1.82372,2.28831,2.20601,0.00113889,0.00113889,0.00113889
18,7955.81,1.74276,2.24031,1.9853,0.53583,0.48624,0.50492,0.19724,1.80506,2.02867,2.16741,0.00110589,0.00110589,0.00110589
19,8371.74,1.73637,2.14594,1.95921,0.5993,0.47706,0.50815,0.22265,1.81618,2.32892,2.18389,0.00107288,0.00107288,0.00107288
20,8847.84,1.6428,2.07423,1.89128,0.50268,0.47295,0.46762,0.21678,1.78098,2.29725,2.14483,0.00103987,0.00103987,0.00103987
21,9342.12,1.66576,2.0568,1.91253,0.59479,0.48624,0.55988,0.22258,1.79278,2.54353,2.12706,0.00100687,0.00100687,0.00100687
22,9797.74,1.59819,1.92953,1.84519,0.50694,0.58716,0.56805,0.27002,1.78404,1.88282,2.16524,0.000973861,0.000973861,0.000973861
23,10227.9,1.61303,1.93248,1.84364,0.68168,0.50459,0.6102,0.27279,1.7526,1.9625,2.10357,0.000940855,0.000940855,0.000940855
24,10660.9,1.60056,1.89502,1.88877,0.7388,0.57798,0.61842,0.28626,1.67734,1.77119,2.06663,0.000907848,0.000907848,0.000907848
25,11094.4,1.54031,1.81026,1.79697,0.6764,0.53211,0.59282,0.29495,1.75249,1.81363,2.12694,0.000874842,0.000874842,0.000874842
26,11530,1.54678,1.80213,1.80178,0.69913,0.59691,0.69229,0.32931,1.6591,1.66876,1.99429,0.000841835,0.000841835,0.000841835
27,11980.8,1.5702,1.82756,1.81591,0.60581,0.55046,0.62258,0.30656,1.66163,2.19972,1.99128,0.000808828,0.000808828,0.000808828
28,12474.8,1.5276,1.73464,1.77922,0.76696,0.6643,0.74937,0.36993,1.63503,1.60597,2.03775,0.000775822,0.000775822,0.000775822
29,12919.7,1.46499,1.70113,1.75601,0.70908,0.69725,0.74445,0.38859,1.59191,1.70891,1.96798,0.000742815,0.000742815,0.000742815
30,13409.6,1.46307,1.68569,1.7122,0.81849,0.6789,0.78537,0.38349,1.61073,1.49408,1.95595,0.000709809,0.000709809,0.000709809
31,13867.6,1.46679,1.67178,1.72001,0.81341,0.7156,0.78646,0.42279,1.55935,1.55254,1.90074,0.000676802,0.000676802,0.000676802
32,14290,1.41095,1.70494,1.69763,0.66057,0.60706,0.69517,0.35022,1.5925,1.6044,1.96587,0.000643795,0.000643795,0.000643795
33,14730.1,1.40919,1.61381,1.69839,0.81137,0.74982,0.80615,0.4463,1.49524,1.37057,1.90273,0.000610789,0.000610789,0.000610789
34,15149.7,1.39147,1.59034,1.65111,0.73418,0.75229,0.79457,0.45714,1.48485,1.28703,1.84643,0.000577782,0.000577782,0.000577782
35,15594.8,1.40397,1.56329,1.66168,0.83252,0.77064,0.84753,0.49176,1.44759,1.26366,1.8003,0.000544776,0.000544776,0.000544776
36,16055.9,1.39205,1.5777,1.67801,0.80405,0.76147,0.83892,0.46518,1.48385,1.29501,1.86249,0.000511769,0.000511769,0.000511769
37,16521.3,1.32026,1.51842,1.61249,0.84645,0.80921,0.8566,0.50912,1.45835,1.2259,1.83146,0.000478762,0.000478762,0.000478762
38,16990.4,1.3276,1.42307,1.61618,0.90706,0.80583,0.86552,0.48645,1.42314,1.2509,1.79155,0.000445756,0.000445756,0.000445756
39,17454,1.31834,1.46183,1.59929,0.95786,0.77064,0.88528,0.51528,1.38735,1.19098,1.74874,0.000412749,0.000412749,0.000412749
40,17926.9,1.25409,1.39887,1.55171,0.88724,0.79406,0.88405,0.5017,1.45738,1.21844,1.84919,0.000379743,0.000379743,0.000379743
41,18350.3,1.27735,1.29222,1.68258,0.91532,0.79331,0.89266,0.52953,1.42749,1.16956,1.79565,0.000346736,0.000346736,0.000346736
42,18873.5,1.15071,1.1617,1.58791,0.87436,0.82569,0.89126,0.52907,1.39841,1.17834,1.8022,0.000313729,0.000313729,0.000313729
43,19558.4,1.15637,1.08854,1.56781,0.90673,0.89189,0.91513,0.54909,1.3829,1.14088,1.75226,0.000280723,0.000280723,0.000280723
44,20152.4,1.14426,1.00688,1.52794,0.9425,0.86239,0.92347,0.54959,1.38161,1.09339,1.72593,0.000247716,0.000247716,0.000247716
45,20759.8,1.14189,0.98475,1.52523,0.95301,0.84404,0.91659,0.57315,1.32982,1.08529,1.71557,0.00021471,0.00021471,0.00021471
46,21387.6,1.08295,0.9637,1.47581,0.94469,0.84404,0.90818,0.56965,1.3302,1.05252,1.71919,0.000181703,0.000181703,0.000181703
47,21929.3,1.09529,0.94832,1.48291,0.95682,0.86239,0.92771,0.5727,1.33048,1.04461,1.71318,0.000148696,0.000148696,0.000148696
48,22481.3,1.0483,0.95486,1.44868,0.93937,0.85285,0.90934,0.58496,1.31147,1.03728,1.68209,0.00011569,0.00011569,0.00011569
49,22975.9,1.02609,0.92559,1.41863,0.9131,0.87156,0.9204,0.60306,1.26992,1.03322,1.66231,8.26832e-05,8.26832e-05,8.26832e-05
50,23436.6,1.02669,0.91354,1.43452,0.91961,0.87156,0.91973,0.589,1.27847,1.03031,1.67485,4.96766e-05,4.96766e-05,4.96766e-05
